Model,Train Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1-Score
Naive Bayes,0.9684943956376856,0.652542372881356,0.6495184897226951,0.652542372881356,0.6506996297685337
Linear SVM,1.0,0.6719128329297821,0.6676430063522869,0.6719128329297821,0.6612693178539369
Logistic Regression,0.996970614965162,0.6840193704600485,0.705287007369343,0.6840193704600485,0.6570879992655344
