Model,Train Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1-Score
Naive Bayes (Manual),0.83397709561564,0.6455284552845528,0.6521677449964121,0.6455284552845528,0.6389853862802127
Naive Bayes (Sklearn),0.83397709561564,0.6455284552845528,0.6521677449964121,0.6455284552845528,0.6389853862802127
Linear SVM,0.9226129972216576,0.6620596205962059,0.6611354495581621,0.6620596205962059,0.6569745104518123
Logistic Regression,0.9278308599308802,0.6520325203252032,0.6619337950560246,0.6520325203252032,0.6511950431309078
